yTrue	yPredicted
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	1
-1	-1
1	-1
-1	-1
-1	-1
-1	1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
1	-1
-1	-1
-1	1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	1
-1	1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
1	-1
-1	-1
1	1
-1	-1
-1	-1
-1	-1
1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	1
1	-1
1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	1
-1	1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	1
1	-1
-1	-1
1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	1
-1	-1
-1	1
-1	-1
-1	-1
-1	-1
-1	-1
